workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP
500.perlbench_r,318710204664,303924265,970618900821,51844379287,1756356827,677,10689659,126.15,3.47,555.59,2.99,1.33
500.perlbench_r,327838990125,317082632,996823603839,53621675680,1805151554,689,11036197,126.11,3.47,555.21,2.99,1.33
500.perlbench_r,337006226336,325277751,1024964670774,55075234112,1854740342,709,11341156,126.25,3.47,555.64,2.99,1.33
500.perlbench_r,346173284945,333981779,1052694390334,56559409994,1905100958,720,11646816,126.22,3.47,555.63,2.99,1.33
500.perlbench_r,355344381797,342200426,1080767786920,58014290671,1955183159,727,11945245,126.23,3.47,555.73,2.99,1.33
500.perlbench_r,364512500336,350803283,1108659434836,59500976076,2005522405,741,12251212,126.21,3.47,555.71,2.99,1.33
500.perlbench_r,373677798290,359653319,1136528143552,60996193117,2055906149,754,12567828,126.23,3.47,555.67,2.99,1.33
500.perlbench_r,382843303809,367974427,1164649582983,62453724866,2107216277,766,12851853,126.28,3.47,555.55,2.99,1.33
500.perlbench_r,391721964729,379918461,1191311550238,63932923047,2152676286,786,13122331,126.06,3.47,556.57,2.99,1.34
500.perlbench_r,400876984902,382903218,1219959720141,65003436273,2175039796,792,14041687,124.07,3.46,563.89,2.99,1.34
500.perlbench_r,410056415462,383843790,1249368685758,65953463494,2199496783,809,15134070,122.29,3.46,571.19,2.99,1.33
500.perlbench_r,419219548021,394169150,1278345997968,67039491460,2222192232,820,16184097,120.62,3.45,578.61,2.99,1.34
500.perlbench_r,428404283869,394450495,1309100196515,67826324806,2242116459,830,16652928,118.62,3.44,587,2.99,1.33
500.perlbench_r,437584746961,395146195,1339671958738,68651998675,2261944790,842,17180455,116.78,3.43,595.18,2.99,1.33
500.perlbench_r,446763469073,395430449,1370317455967,69440739559,2281545203,845,17599701,115.07,3.42,603.31,2.99,1.32
500.perlbench_r,455941388709,395846547,1400854973919,70241462153,2301327298,855,18001724,113.49,3.42,611.2,3,1.32
500.perlbench_r,465119923605,396543689,1431342858884,71074090593,2320899595,861,18367933,112.02,3.41,618.95,3,1.32
500.perlbench_r,474304959954,397134411,1461443330702,71926738725,2343305545,870,18899661,110.83,3.4,625.78,3,1.31
500.perlbench_r,483490587128,397979882,1491092059535,72827341722,2367812038,876,19588552,109.86,3.4,632.05,3,1.31
500.perlbench_r,492674772728,398966650,1520714216809,73732730167,2392229982,884,20309336,108.94,3.39,638.19,3,1.31
500.perlbench_r,501788136203,415952727,1549736414219,74862033850,2411670064,894,20804607,107.91,3.39,645.03,3,1.32
500.perlbench_r,510968263677,416635050,1580237907250,75695051992,2431314558,907,21175818,106.8,3.38,652.11,3,1.32
500.perlbench_r,520153725058,417097485,1610869028813,76493578624,2451244004,917,21564208,105.76,3.38,659.09,3,1.32
500.perlbench_r,529339219158,417429407,1641518008477,77289035599,2470957138,922,21981064,104.77,3.37,666,3,1.32
500.perlbench_r,538523986609,418869311,1671096880388,78203634976,2495737713,928,22642877,104.08,3.37,671.23,3,1.31
500.perlbench_r,547703801451,420441168,1700583063332,79143425735,2520005178,936,23347665,103.44,3.36,676.65,3,1.31
500.perlbench_r,556666106300,445875983,1727506789848,80592703477,2540618739,944,23959959,102.85,3.36,681.95,3,1.33
500.perlbench_r,565847327964,446292524,1758164146273,81390284601,2560304391,952,24342543,102.03,3.36,688.48,3,1.33
500.perlbench_r,575032464291,447377265,1788475782538,82233897429,2581325741,954,24810601,101.31,3.35,694.4,3,1.32
500.perlbench_r,584213326441,449915483,1817793629429,83213671121,2605624320,959,25493225,100.79,3.35,699.36,3,1.32
500.perlbench_r,593396205999,452159530,1847282707368,84159028389,2629882464,970,26171570,100.29,3.35,704.26,3,1.32
500.perlbench_r,601698678385,491227658,1870278653649,86088034380,2646916536,994,26645292,99.94,3.35,708.34,3,1.34
500.perlbench_r,609950206203,536462652,1888184789221,89369154505,2653710619,1007,26694118,99.66,3.34,713.2,3,1.33
500.perlbench_r,618161465238,582839934,1905821176563,92735205541,2660472198,1020,26731003,99.35,3.34,717.96,3.01,1.32
500.perlbench_r,626437101674,628213192,1923947285660,96025308054,2667377568,1031,26777795,99.04,3.34,722.83,3.01,1.31
500.perlbench_r,634715474462,673494798,1942107102878,99312290293,2674320443,1043,26821979,98.74,3.34,727.69,3.01,1.3
500.perlbench_r,642996693727,718673535,1960261625656,102593963080,2681359681,1051,26863956,98.44,3.33,732.5,3.01,1.29
500.perlbench_r,651283320370,763599674,1978380388102,105868968323,2688207307,1064,26905930,98.15,3.33,737.3,3.02,1.28
500.perlbench_r,659572655988,808514457,1996481371393,109148858065,2695237582,1070,26952715,97.87,3.33,742.03,3.02,1.27
500.perlbench_r,667876483337,853321818,2014633394087,112424311097,2702283063,1082,27002528,97.59,3.33,746.75,3.02,1.26
500.perlbench_r,676190579101,898070146,2032854017188,115693071219,2709402018,1089,27048399,97.32,3.33,751.43,3.02,1.26
500.perlbench_r,684513586466,942788399,2051178706842,118955170943,2716481666,1098,27102814,97.06,3.32,756.11,3.02,1.25
500.perlbench_r,692838572024,987426932,2069541063357,122217166688,2723526557,1104,27154120,96.79,3.32,760.84,3.03,1.25
500.perlbench_r,701176358785,1032182007,2087949072500,125478294771,2730528031,1117,27200021,96.54,3.32,765.55,3.03,1.24
500.perlbench_r,709522666864,1076563924,2106306868380,128742449280,2737652111,1127,27246282,96.29,3.32,770.25,3.03,1.24
500.perlbench_r,717886104529,1121013370,2124765477400,132001151433,2744834594,1145,27302383,96.04,3.32,774.93,3.03,1.23
500.perlbench_r,726250615411,1165360158,2143303548522,135255988766,2752110219,1156,27353609,95.8,3.31,779.59,3.04,1.23
500.perlbench_r,734638499819,1209580971,2162015479175,138485215921,2759474650,1175,27404460,95.56,3.31,784.27,3.04,1.22
500.perlbench_r,743032829862,1253946016,2180726319037,141719015997,2766815239,1186,27463876,95.32,3.31,788.91,3.04,1.22
500.perlbench_r,751451392124,1298376914,2199665074176,144934088547,2774045718,1201,27525418,95.09,3.31,793.64,3.04,1.21
500.perlbench_r,759881823715,1342590331,2218738406678,148132795467,2781343543,1210,27591657,94.86,3.31,798.38,3.04,1.21
500.perlbench_r,768320788678,1386676483,2237913501195,151313263871,2788673079,1225,27647056,94.64,3.31,803.13,3.05,1.21
500.perlbench_r,776771464618,1430430395,2257200591098,154462350409,2796096119,1236,27709408,94.42,3.3,807.86,3.05,1.21
500.perlbench_r,785228580533,1473921786,2276560489822,157595832595,2803522902,1250,27778093,94.2,3.3,812.57,3.05,1.2
500.perlbench_r,793696769215,1516911737,2296071990158,160700920858,2811085046,1264,27857203,93.99,3.3,817.28,3.05,1.2
500.perlbench_r,802174989211,1559214258,2315731424941,163780807629,2818645943,1279,27932783,93.77,3.3,822.02,3.05,1.2
500.perlbench_r,810682729571,1600968521,2335593954006,166831197281,2826280132,1290,28019352,93.57,3.3,826.8,3.05,1.19
500.perlbench_r,819228188432,1642623272,2355818899769,169854347755,2834195594,1305,28103561,93.36,3.3,831.58,3.06,1.19
500.perlbench_r,827833617349,1683492617,2376487316709,172819066860,2842225772,1313,28204182,93.15,3.29,836.45,3.06,1.19
500.perlbench_r,836524871719,1724715945,2398169545314,175589619107,2850595057,1329,28307683,92.94,3.29,841.51,3.06,1.19
500.perlbench_r,845478068592,1763489029,2422847916212,177844298350,2860177635,1341,28437845,92.71,3.29,847.19,3.06,1.19
500.perlbench_r,854634087599,1780669000,2451200216474,179288345562,2871917070,1355,28645330,92.46,3.29,853.53,3.06,1.19
500.perlbench_r,863712414605,1788527373,2475191158964,181039501113,2907436950,1375,29826823,92.33,3.29,854.54,3.07,1.19
500.perlbench_r,872820301840,1800991169,2497484407692,183088800811,2945129245,1386,31099940,92.32,3.29,851.1,3.06,1.19
500.perlbench_r,881914295330,1815523818,2522227732928,184857645103,2985436466,1397,31550418,92.31,3.29,848.56,3.06,1.19
500.perlbench_r,891081254128,1823435894,2550247155745,186324956966,3035700232,1406,31656047,92.59,3.29,843.46,3.06,1.19
500.perlbench_r,900243272203,1831453628,2578185511362,187802805660,3086027212,1416,31766033,92.85,3.29,838.48,3.06,1.19
500.perlbench_r,909411789779,1840080027,2606376782042,189279922510,3134554184,1432,31879023,93.12,3.29,834.23,3.06,1.19
500.perlbench_r,918577001061,1848262323,2634433012726,190755587581,3184869738,1442,31990523,93.39,3.3,829.94,3.06,1.19
500.perlbench_r,927716806971,1857549920,2661992407366,192306625791,3235182289,1458,32110255,93.64,3.3,825.53,3.06,1.2
500.perlbench_r,936886160105,1866324979,2689791259749,193822916328,3285468443,1471,32224651,93.89,3.3,821.15,3.06,1.2
500.perlbench_r,946047414338,1875505586,2717571092717,195364567046,3336021637,1488,32345731,94.14,3.3,816.81,3.06,1.2
500.perlbench_r,955219702050,1883483097,2745766178100,196832931348,3386830161,1500,32456081,94.4,3.3,812.56,3.06,1.2
500.perlbench_r,964385997986,1892360691,2773476087655,198364153837,3437329276,1516,32574424,94.64,3.3,808.62,3.06,1.2
500.perlbench_r,973549377004,1900735896,2801858877405,199807716679,3485517173,1525,32678594,94.89,3.31,805.08,3.06,1.2
500.perlbench_r,982712601611,1909382444,2829714910306,201319007198,3536403943,1545,32790256,95.11,3.31,801.57,3.06,1.2
500.perlbench_r,991870611190,1917579718,2858371040962,202745265676,3585385835,1557,32883875,95.39,3.31,798.44,3.06,1.2
500.perlbench_r,1001034384585,1926602959,2885838744048,204306513592,3636569608,1562,33014338,95.62,3.31,794.81,3.05,1.2
500.perlbench_r,1010202797430,1934737242,2913884018483,205780835832,3688033023,1567,33127665,95.85,3.31,791.34,3.05,1.2
500.perlbench_r,1019336083611,1943921794,2941428368898,207336097814,3739346910,1581,33252895,96.07,3.31,788.2,3.05,1.2
500.perlbench_r,1028503707086,1952321409,2969436376672,208823669745,3790270554,1589,33369656,96.27,3.31,784.71,3.05,1.2
500.perlbench_r,1037664716800,1961252144,2997232703529,210340740023,3839972789,1602,33479085,96.49,3.32,781.64,3.05,1.2
500.perlbench_r,1046833306594,1969748009,3025043251689,211846779709,3890678614,1613,33587886,96.7,3.32,778.51,3.05,1.2
500.perlbench_r,1055979777922,1978597826,3052825057174,213372763637,3941392799,1628,33701250,96.9,3.32,775.74,3.05,1.21
500.perlbench_r,1065144508434,1987662372,3080364130535,214921932279,3991793782,1640,33819345,97.1,3.32,772.78,3.05,1.21
500.perlbench_r,1074309777842,1996747410,3107844543412,216474782263,4041601781,1660,33938800,97.28,3.32,769.85,3.05,1.21
500.perlbench_r,1083473462580,2005206651,3135894194747,217946044862,4091300939,1671,34049588,97.47,3.32,767.26,3.05,1.21
500.perlbench_r,1092640046504,2013760498,3163747327964,219456198533,4142428729,1685,34172529,97.67,3.32,764.46,3.05,1.21
500.perlbench_r,1101808464232,2021900061,3191992409640,220922231007,4192900612,1692,34291011,97.87,3.33,761.79,3.05,1.21
500.perlbench_r,1110971507324,2031214719,3219596767912,222473196153,4243181094,1710,34421417,98.08,3.33,759.33,3.05,1.21
500.perlbench_r,1120136117880,2039964780,3247528185315,223986413115,4293946151,1718,34547164,98.27,3.33,756.57,3.05,1.21
500.perlbench_r,1129304681771,2047920606,3275811522711,225437687553,4344888176,1732,34661753,98.46,3.33,754.28,3.05,1.21
500.perlbench_r,1138473570761,2056933125,3303374122939,226989525798,4396098672,1743,34796105,98.66,3.33,751.86,3.05,1.21
500.perlbench_r,1147637970648,2065190407,3331504541794,228475157476,4447164489,1758,34917649,98.83,3.33,749.4,3.05,1.21
500.perlbench_r,1156802701576,2074519990,3359244363463,230014124772,4496670590,1768,35043305,99.02,3.33,747.36,3.05,1.21
500.perlbench_r,1165972180737,2082602251,3387681251878,231454403879,4546655608,1782,35153987,99.19,3.33,745.19,3.05,1.21
500.perlbench_r,1175109558390,2091103755,3415747754816,232935801636,4596431300,1793,35274235,99.37,3.33,743.39,3.05,1.21
500.perlbench_r,1184276671869,2099728722,3443667556366,234443445382,4647393723,1807,35395150,99.55,3.34,741.3,3.04,1.21
500.perlbench_r,1193364081827,2112247817,3470049299032,236165957429,4695312619,1819,35503238,99.72,3.34,739.26,3.04,1.21
500.perlbench_r,1202532434226,2121442594,3497643159975,237720981922,4746158251,1837,35617411,99.88,3.34,737.17,3.04,1.21
500.perlbench_r,1211700152001,2129649585,3525754407667,239201950270,4795396373,1848,35720004,100.05,3.34,735.3,3.04,1.21
500.perlbench_r,1220865629828,2138137025,3553559554129,240695444570,4845776247,1854,35835509,100.23,3.34,733.5,3.04,1.21
500.perlbench_r,1230033703024,2146335449,3581628332686,242167540924,4896308594,1861,35948614,100.39,3.34,731.82,3.04,1.22
500.perlbench_r,1239198870258,2155358146,3609417105712,243689342463,4946343841,1871,36050240,100.55,3.34,730.09,3.04,1.22
500.perlbench_r,1248330080213,2166977765,3636349246868,245369691064,4994839956,1883,36149689,100.71,3.34,728.29,3.04,1.22
500.perlbench_r,1257493656624,2175644089,3664312380468,246871463474,5045453553,1898,36245818,100.88,3.34,726.4,3.04,1.22
500.perlbench_r,1266613897210,2187366481,3691910642090,248402978037,5094387011,1914,36378053,101.05,3.34,724.86,3.04,1.22
500.perlbench_r,1275719568213,2192425997,3719903615977,249648512547,5113856060,1920,37048728,100.82,3.34,726.62,3.04,1.22
500.perlbench_r,1284900125306,2193374665,3749651414297,250578173745,5136622685,1929,37867746,100.57,3.34,728.9,3.04,1.22
500.perlbench_r,1294078589236,2200683465,3779206352058,251570585136,5158484570,1944,38588990,100.32,3.34,731.17,3.04,1.22
500.perlbench_r,1303251434112,2204064838,3809981290173,252441059617,5177356178,1954,39046360,99.99,3.34,734.26,3.04,1.22
500.perlbench_r,1312432148710,2204772671,3840917665333,253257295235,5196741817,1968,39488154,99.65,3.34,737.38,3.04,1.22
500.perlbench_r,1321617622217,2205051480,3872044829784,254032157459,5216017702,1981,39939036,99.31,3.33,740.49,3.04,1.22
500.perlbench_r,1330801954573,2205467846,3903071538895,254818122311,5235456826,1997,40380344,98.99,3.33,743.58,3.04,1.22
500.perlbench_r,1339982123884,2206134804,3933939597724,255639001648,5254694768,2012,40816440,98.67,3.33,746.63,3.04,1.22
500.perlbench_r,1349166659458,2206753975,3964341987011,256481420814,5276247962,2028,41441113,98.4,3.33,749.29,3.04,1.22
500.perlbench_r,1358349012500,2207585620,3994398120860,257355665605,5298942494,2034,42226676,98.19,3.33,751.4,3.04,1.22
500.perlbench_r,1367533370370,2208582219,4024419812337,258235591272,5321623763,2045,42994938,97.99,3.33,753.5,3.04,1.22
500.perlbench_r,1376647735776,2225504672,4053808680893,259349490824,5340073604,2054,43446837,97.75,3.33,756.01,3.04,1.22
500.perlbench_r,1385828257565,2226179575,4084631640686,260172545882,5359288507,2070,43908557,97.46,3.32,758.95,3.04,1.22
500.perlbench_r,1395010425059,2226644053,4115551241286,260964016679,5378907300,2082,44388310,97.17,3.32,761.83,3.04,1.22
500.perlbench_r,1404195089064,2227176475,4146438237765,261763959113,5398547751,2096,44881362,96.89,3.32,764.74,3.04,1.22
500.perlbench_r,1413379485201,2228574524,4176220940029,262671553583,5422394985,2110,45740607,96.7,3.32,766.69,3.04,1.22
500.perlbench_r,1422560137859,2230214188,4206064797103,263588668442,5444964315,2123,46650497,96.52,3.32,768.66,3.04,1.22
500.perlbench_r,1431532369514,2255492545,4233341291131,265019782788,5463610918,2136,47349002,96.35,3.32,770.65,3.04,1.22
500.perlbench_r,1440699874552,2255858629,4264396908393,265801161768,5482798208,2138,47807394,96.1,3.32,773.44,3.04,1.22
500.perlbench_r,1449873232471,2257257290,4294818909871,266660368529,5503917147,2142,48401039,95.86,3.31,776.01,3.04,1.22
500.perlbench_r,1459039870568,2259828289,4324397942843,267633834872,5526847278,2153,49199230,95.7,3.31,777.91,3.04,1.22
500.perlbench_r,1468225479365,2262132911,4354246717282,268561720274,5549287469,2161,50029018,95.54,3.31,779.77,3.04,1.22
500.perlbench_r,1476782072915,2308891547,4375696290911,270871553077,5562302904,2172,50419017,95.41,3.31,781.54,3.04,1.23
500.perlbench_r,1485039231981,2353885596,4393430699012,274178444979,5569018389,2177,50450145,95.33,3.31,783.71,3.04,1.23
500.perlbench_r,1493262664371,2399021205,4410552988131,277594242437,5575542857,2185,50485250,95.22,3.31,785.81,3.04,1.23
500.perlbench_r,1501537995615,2443872358,4428363110847,280891791589,5582310476,2193,50515666,95.12,3.31,787.99,3.04,1.23
500.perlbench_r,1509812595946,2488612193,4446157049627,284191113473,5589086042,2204,50547069,95.01,3.31,790.15,3.04,1.22
500.perlbench_r,1518083988564,2533278120,4463833434252,287507507831,5595863251,2211,50581944,94.91,3.31,792.3,3.04,1.22
500.perlbench_r,1526358485237,2578171030,4481689912528,290818174634,5602586947,2215,50611835,94.8,3.31,794.47,3.04,1.22
500.perlbench_r,1534633328869,2623121388,4499573607417,294128047580,5609431326,2224,50648160,94.7,3.31,796.62,3.04,1.22
500.perlbench_r,1542917574529,2667855247,4517561774593,297417738834,5616343948,2235,50685144,94.6,3.31,798.77,3.04,1.22
500.perlbench_r,1551208002366,2712574404,4535592289547,300708322798,5623318787,2242,50716896,94.5,3.31,800.9,3.05,1.22
500.perlbench_r,1559500095073,2757490916,4553728351938,304001732355,5630200666,2252,50744987,94.4,3.3,803.04,3.05,1.21
500.perlbench_r,1567804153176,2802491558,4572016626128,307294233149,5637075633,2257,50781121,94.3,3.3,805.18,3.05,1.21
500.perlbench_r,1576116417454,2847441230,4590376527407,310577276360,5644018400,2265,50805084,94.2,3.3,807.32,3.05,1.21
500.perlbench_r,1584439314247,2892286812,4608765236489,313862191627,5651001519,2271,50840689,94.11,3.3,809.45,3.05,1.21
500.perlbench_r,1592777362231,2937032392,4627168315261,317148580985,5658102362,2280,50881027,94.01,3.3,811.58,3.05,1.21
500.perlbench_r,1601142498524,2981668506,4645715679327,320418326550,5665290927,2291,50920968,93.91,3.3,813.71,3.05,1.21
500.perlbench_r,1609533584345,3026130631,4664384986072,323675375454,5672496031,2301,50953390,93.82,3.3,815.84,3.05,1.2
500.perlbench_r,1617931792924,3070568084,4683084284809,326931008565,5679815648,2309,50988717,93.72,3.3,817.97,3.05,1.2
500.perlbench_r,1626339710271,3115039851,4701928648819,330168557221,5686949916,2317,51025274,93.63,3.3,820.11,3.05,1.2
500.perlbench_r,1634762098872,3159323552,4720896709469,333387917951,5694139779,2320,51069576,93.53,3.3,822.31,3.05,1.2
500.perlbench_r,1643199385380,3203459746,4739947789032,336594172012,5701360275,2332,51114499,93.44,3.3,824.52,3.05,1.2
500.perlbench_r,1651640962325,3247209589,4759097966787,339777789951,5708622960,2335,51159745,93.34,3.3,826.73,3.06,1.2
500.perlbench_r,1660090700744,3290660014,4778374639034,342935853828,5716000168,2340,51198354,93.25,3.29,828.94,3.06,1.2
500.perlbench_r,1668549415116,3333720596,4797763137026,346065334598,5723432228,2347,51236100,93.15,3.29,831.17,3.06,1.2
500.perlbench_r,1677024663048,3376204510,4817332070377,349162880986,5730928017,2356,51286454,93.06,3.29,833.39,3.06,1.19
500.perlbench_r,1685521047632,3418188792,4837069998530,352239106511,5738471585,2364,51336381,92.96,3.29,835.64,3.06,1.19
500.perlbench_r,1694060093220,3459830673,4857235512325,355275978904,5746296036,2375,51384911,92.87,3.29,837.9,3.06,1.19
500.perlbench_r,1702649648426,3500903246,4877863324744,358250121153,5754263673,2382,51423958,92.78,3.29,840.18,3.06,1.19
500.perlbench_r,1711286220697,3541114612,4899109285205,361111816207,5762415078,2392,51485688,92.68,3.29,842.5,3.06,1.19
500.perlbench_r,1720108534603,3579779942,4923015919163,363510657239,5771634785,2399,51568376,92.58,3.29,844.98,3.06,1.19
500.perlbench_r,1729179019399,3599318345,4951205515400,365026095848,5783132226,2410,51738603,92.47,3.29,847.74,3.06,1.19
500.perlbench_r,1738345906140,3606993072,4975670690214,366732424956,5817668904,2418,52819161,92.35,3.29,850.83,3.06,1.19
500.perlbench_r,1747478504715,3619482047,4998103700122,368758791207,5855664535,2431,53994638,92.31,3.29,850.38,3.06,1.19
500.perlbench_r,1756589475826,3632812275,5022817961844,370529139184,5896184606,2443,54578940,92.3,3.29,848.74,3.06,1.19
500.perlbench_r,1765718430195,3640595443,5050968298166,371971926170,5946717909,2450,54853456,92.32,3.29,847.28,3.06,1.19
500.perlbench_r,1774887039166,3649495339,5078791492241,373473552763,5997222270,2459,55184060,92.47,3.29,844.69,3.06,1.19
500.perlbench_r,1784053722378,3658056525,5107011764367,374934723508,6046345925,2473,55464838,92.61,3.29,842.19,3.06,1.19
500.perlbench_r,1793218759090,3666756778,5134924585512,376423971761,6096532627,2485,55748851,92.74,3.29,840.06,3.06,1.19
500.perlbench_r,1802385616491,3675401378,5162761987210,377922385715,6147042391,2500,56074235,92.88,3.29,837.66,3.06,1.19
500.perlbench_r,1811551435056,3684064008,5190550595756,379420897801,6197744410,2509,56392938,93.01,3.29,835.3,3.06,1.19
500.perlbench_r,1820718565025,3692542242,5218377597364,380924540689,6249209645,2525,56688824,93.14,3.29,832.88,3.06,1.19
500.perlbench_r,1829888765778,3700657271,5246514378385,382386541887,6299970036,2535,56976155,93.28,3.29,830.55,3.06,1.19
500.perlbench_r,1839028951618,3709632218,5274139634564,383912579903,6350743074,2545,57288362,93.41,3.3,828.29,3.06,1.19
500.perlbench_r,1848197340578,3717701918,5302582215828,385331789207,6399577909,2554,57559117,93.54,3.3,826.01,3.06,1.2
500.perlbench_r,1857362569419,3726010778,5330538164185,386805838128,6450629549,2566,57843521,93.67,3.3,824.09,3.06,1.2
500.perlbench_r,1866531546649,3733554255,5359462669882,388170795505,6500217412,2579,58068126,93.79,3.3,821.95,3.06,1.2
500.perlbench_r,1873778975162,3740116248,5379494236172,389301859448,6537475925,2592,58323859,93.92,3.3,820.36,3.06,1.2
502.gcc_r,6827963994,26088141,13296823168,2648282144,57254783,62,2005909,69.81,3.57,291.99,2.79,1.67
502.gcc_r,15507174289,56199872,26922353780,6172844490,137940858,96,3052649,79.47,3.56,175.51,2.78,1.67
502.gcc_r,24485559401,80909490,42257909752,9476495383,218819520,109,3786988,82.94,3.55,204.02,2.79,1.79
502.gcc_r,33411120832,127966962,55378969800,13239345283,292154110,129,4551161,87.26,3.54,186.2,2.8,1.79
502.gcc_r,41630186411,223337648,66721875944,17328360117,317823828,135,4647650,91.95,3.51,208.57,2.83,2.04
502.gcc_r,50085015555,292369516,80905457256,20936038009,350897354,148,4742738,91.65,3.49,231.15,2.84,2.12
502.gcc_r,58973704989,320464257,95192527491,24519378304,431425512,158,6084185,92.74,3.49,221.31,2.84,2.1
502.gcc_r,68147088470,330747370,108459459394,28208322182,545667759,163,7837772,93.98,3.5,199.99,2.83,2.05
502.gcc_r,77278779398,349286924,122579553974,31683816880,645861030,169,8957844,95.65,3.51,190.44,2.84,2.02
502.gcc_r,86427918210,361222156,136915286812,35023225316,749257896,177,9906208,97.41,3.52,183.46,2.84,1.98
502.gcc_r,95592458372,373330906,150973904852,38349174238,854655332,187,10748958,98.9,3.53,177.02,2.84,1.94
502.gcc_r,104718091275,393288967,166490724272,41587675167,939470144,199,11531683,99.73,3.53,177.25,2.84,1.92
502.gcc_r,113103666303,419812706,180554197600,44251448998,989924294,219,13289625,97.07,3.54,181.96,2.83,1.9
502.gcc_r,122095674546,452016940,193349234467,48009886789,1082944428,225,14500305,96.6,3.54,177.45,2.83,1.89
502.gcc_r,131260325609,463394051,206688972327,51556590683,1195817217,229,15688787,97.26,3.54,171.87,2.83,1.87
502.gcc_r,139675305348,537787850,219038006632,55406033014,1234792309,237,16054085,98.17,3.53,177.58,2.83,1.94
